schema	table	field	codeset	label	description
vital	births	ob_cephsucess	standard4_yesno	External Cephalic-Success	
vital	births	ob_cercl	standard4_yesno	Cervical Cerclage	Circumferential banding or suture of the cervix to prevent or treat passive dilation. Includes: MacDonald's suture, Shirodkar procedure, abdominal cerclage via laparotomy
vital	births	ob_fetalmon	standard4_yesno	Electronic Fetal Monitoring	
vital	births	ob_none	standard4_yesno	No Obstetric Procedures	
vital	births	ob_oth	standard4_yesno	Other Obstetric Procedures	
vital	births	ob_othlit		Other Obstetric Procedures (Literal)	
vital	births	ob_toco	standard4_yesno	Tocolysis	Administration of any agent with the intent to inhibit preterm uterine contractions to extend the length of the pregnancy. Medications: - Magnesium sulfate (for preterm labor) - Terbutaline - Indocin (for preterm labor)
vital	births	ob_ultrasnd	standard4_yesno	Ultrasound	
vital	births	ol_none	standard4_yesno	No Onset of Labor Issues	
vital	births	ol_preciplbr	standard4_yesno	Precipitous labor	Less than 3 hours
vital	births	ol_prerom	standard4_yesno	Premature Rupture of Membranes	Prolonged, greater than or equal to 12 hours before the onset of labor.
vital	births	ol_prolonglbr	standard4_yesno	Prolonged Labor	Prolonged Labor greater than or equal to 20 hours.
vital	births	pat_complete	standard3_yesno	Is paternity complete?	
vital	births	place	place	Place of Birth	The type of place where the birth occurred; Hospital, Freestanding birthing center -  No direct physical connection with an operative delivery center, Home birth -  The birth occurred at a private residence, Clinic/Doctor's office, Other.
vital	births	plurality		Number of Fetuses Delivered During This Pregnancy	The number of fetuses delivered live or dead at any time in the pregnancy regardless of gestational age, or if the fetuses were delivered at different dates in the pregnancy. 'Reabsorbed' fetuses (those that are not delivered: expulsed or extracted from the mother) should not be counted.
vital	births	pre_begin		Prenatal Care Begin Date	The date a physician or other health care professional first examined and/or counseled the pregnant woman for the pregnancy.
vital	births	pre_begda		Prenatal Care Begin Day (1-31)	
vital	births	pre_begmo		Prenatal Care Begin Month (1-12)	
vital	births	pre_begyr		Prenatal Care Begin Year (4-digit)	
vital	births	pre_end		Prenatal Care End Date	The month, day, and year of the last prenatal care visit recorded in the records.
vital	births	pre_endda		Prenatal Care End Day (1-31)	
vital	births	pre_endmo		Prenatal Care End Month (1-12)	
vital	births	pre_endyr		Prenatal Care End Year (4-digit)	
vital	births	prenatal	standard2_yesno	Did mother have prenatal care?	
vital	births	prv_livebth		Previous Live Birth Count	
vital	births	prv_livebthdte		Previous Live Birth Date	The date of birth of the last liveborn infant.
vital	births	prv_term		Previous Termination Number	
vital	births	pv_trims_cal		Trimester Prenatal Care Began	
vital	births	reg_date		Registration Date	
vital	births	reg_da		Registration Day (1-31)	
vital	births	reg_mo		Registration Month (1-12)	
vital	births	reg_yr		Registration Year (4-digit)	
vital	births	source_pay	source_pay	Principal Source of Payment for this Delivery	The principal source of payment at the time of delivery.
vital	births	term_dte		Previous Termination Month/Year	
vital	births	tobacco	standard2_yesno	Tobacco Use?	Any tobacco use before or during pregnancy?
vital	births	cig_pck	cig_pck	Cigarettes or Pack?	This variable is in conjunction with the variables that proceed it: prepreg_cig, prepreg_pck, first_cig, etc. Seems unnecessary as the data's presence in the appropriate column serves the same purpose.
vital	births	prepreg_cig		Cigarettes Smoked 3 Months Before Pregnancy	
vital	births	prepreg_pck		Packs Smoked 3 Months Before Pregnancy	
vital	births	first_cig		Cigarettes in First 3 Months of Pregnancy	
vital	births	first_pck		Packs in First 3 Months of Pregnancy	
vital	births	sec_cig		Cigarettes in the Second 3 Months of Pregnancy	
vital	births	sec_pck		Packs in the Second 3 Months of Pregnancy	
vital	births	last_cig		Cigarettes in the Third Trimester of Pregnancy	
vital	births	last_pck		Packs in the Third Trimester of Pregnancy	
vital	births	tot_visits		Total Prenatal Care Visits	The total number of visits recorded in the record.
vital	births	trial_lbr	standard4_yesno	If Cesarean, was Trial of Labor Attempted	Labor was allowed, augmented, or induced with plans for a vaginal delivery.
vital	births	void			Not Used. All NULL.
vital	births	wic	standard2_yesno	WIC Food Received During Pregnancy	
vital	births	prepreg_wt		Pre-pregnancy Weight	Pre-pregnancy Weight (In lbs 70 - 362, 999)
vital	births	del_wt		Mother's Delivery Weight	The mother's weight at the time of delivery.
vital	births	wt_gain		Mother's Weight Gain	
